o : 0, h : 0, w : 7, ich : 0, kh : 1, kw : 2, ph : 0, pw : 8, pix_idx : 8, weight_idx : 5
o : 0, h : 0, w : 7, ich : 0, kh : 2, kw : 0, ph : 1, pw : 6, pix_idx : 34, weight_idx : 6
o : 0, h : 0, w : 7, ich : 0, kh : 2, kw : 1, ph : 1, pw : 7, pix_idx : 35, weight_idx : 7
o : 0, h : 0, w : 7, ich : 0, kh : 2, kw : 2, ph : 1, pw : 8, pix_idx : 36, weight_idx : 8
wが7の時
o : 0, h : 0, w : 8, ich : 0, kh : 0, kw : 0, ph : -1, pw : 7, pix_idx : -21, weight_idx : 0
o : 0, h : 0, w : 8, ich : 0, kh : 0, kw : 1, ph : -1, pw : 8, pix_idx : -20, weight_idx : 1
o : 0, h : 0, w : 8, ich : 0, kh : 0, kw : 2, ph : -1, pw : 9, pix_idx : -19, weight_idx : 2
o : 0, h : 0, w : 8, ich : 0, kh : 1, kw : 0, ph : 0, pw : 7, pix_idx : 7, weight_idx : 3
o : 0, h : 0, w : 8, ich : 0, kh : 1, kw : 1, ph : 0, pw : 8, pix_idx : 8, weight_idx : 4
o : 0, h : 0, w : 8, ich : 0, kh : 1, kw : 2, ph : 0, pw : 9, pix_idx : 9, weight_idx : 5
o : 0, h : 0, w : 8, ich : 0, kh : 2, kw : 0, ph : 1, pw : 7, pix_idx : 35, weight_idx : 6
o : 0, h : 0, w : 8, ich : 0, kh : 2, kw : 1, ph : 1, pw : 8, pix_idx : 36, weight_idx : 7
o : 0, h : 0, w : 8, ich : 0, kh : 2, kw : 2, ph : 1, pw : 9, pix_idx : 37, weight_idx : 8
wが8の時
o : 0, h : 0, w : 9, ich : 0, kh : 0, kw : 0, ph : -1, pw : 8, pix_idx : -20, weight_idx : 0
o : 0, h : 0, w : 9, ich : 0, kh : 0, kw : 1, ph : -1, pw : 9, pix_idx : -19, weight_idx : 1
o : 0, h : 0, w : 9, ich : 0, kh : 0, kw : 2, ph : -1, pw : 10, pix_idx : -18, weight_idx : 2
o : 0, h : 0, w : 9, ich : 0, kh : 1, kw : 0, ph : 0, pw : 8, pix_idx : 8, weight_idx : 3
o : 0, h : 0, w : 9, ich : 0, kh : 1, kw : 1, ph : 0, pw : 9, pix_idx : 9, weight_idx : 4
o : 0, h : 0, w : 9, ich : 0, kh : 1, kw : 2, ph : 0, pw : 10, pix_idx : 10, weight_idx : 5
o : 0, h : 0, w : 9, ich : 0, kh : 2, kw : 0, ph : 1, pw : 8, pix_idx : 36, weight_idx : 6
o : 0, h : 0, w : 9, ich : 0, kh : 2, kw : 1, ph : 1, pw : 9, pix_idx : 37, weight_idx : 7
o : 0, h : 0, w : 9, ich : 0, kh : 2, kw : 2, ph : 1, pw : 10, pix_idx : 38, weight_idx : 8
wが9の時
o : 0, h : 0, w : 10, ich : 0, kh : 0, kw : 0, ph : -1, pw : 9, pix_idx : -19, weight_idx : 0
